"asset","path","sha256","bytes","modified_utc","read_only_upstream","contains_pii","release_level"
"01_demand_tracts.rds","${P01_CODEBASE_ROOT}/data/analytic/01_demand_tracts.rds","a8c570103cc13bda94f4233ce62055a4ec0d1b44348e148a37475a4aae54a0c7",1710426,"2026-07-16 03:18:41 UTC",TRUE,FALSE,"tract aggregate"
"01_supply_providers.rds","${P01_CODEBASE_ROOT}/data/analytic/01_supply_providers.rds","c7cdc5cdc65783e68cffdd02c796f47d42b1ba084eed579d4299f930d4efff12",80388,"2026-07-16 03:10:49 UTC",TRUE,FALSE,"provider-level restricted model input"
"02_e2sfca.rds","${P01_CODEBASE_ROOT}/data/analytic/02_e2sfca.rds","484bf26d0ee6abcbeba87aa6022d7a333d59b0d8640ce1593386936b887456ba",15248,"2026-07-16 04:18:32 UTC",TRUE,FALSE,"tract aggregate"
"02_deserts_classified.rds","${P01_CODEBASE_ROOT}/data/analytic/02_deserts_classified.rds","3342d7d5b6abcdaf2bae4ac108603910494ee18435b94598c076611e46281a18",1242864,"2026-07-16 04:35:26 UTC",TRUE,FALSE,"tract aggregate"
"01_covariates_tracts.rds","${P01_CODEBASE_ROOT}/data/analytic/01_covariates_tracts.rds","7a894fbaa38b19926dce91c8dbdf7b3d27bf216d1fee68a1a2d70fb98d63df8e",2601626,"2026-07-16 03:41:52 UTC",TRUE,FALSE,"tract aggregate"
"05_spatial_weights.rds","${P01_CODEBASE_ROOT}/data/analytic/05_spatial_weights.rds","c79927be671efa603c72df69ccdf9804c5463c840805db5a3a0dae8af3218ff8",27660,"2026-07-16 12:23:41 UTC",TRUE,FALSE,"tract aggregate"
"04_stability.rds","${P01_CODEBASE_ROOT}/data/analytic/04_stability.rds","3a5ae85ae279a30905b385122c2720400c01aebf5d0a6d0557ac8781e6f45ea6",1212076,"2026-07-16 05:16:41 UTC",TRUE,FALSE,"tract aggregate"
"P01 key_numbers.csv","${P01_CODEBASE_ROOT}/outputs/key_numbers.csv","d95b9655e71c8262917287d42187be09dec80e26d765a1474b80290e7a58b490",21624,"2026-07-16 13:40:41 UTC",TRUE,FALSE,"aggregate registry"
"Quarterly survey 2024-07","${DHR_SURVEY_DIR}/quarterly_survey_2024-07.xlsx","aef66b004ae27b5377b5b3cea0a32aca862ee1cc2c3432ee9ca03fc17220fad2",24006,"2025-08-11 19:41:12 UTC",TRUE,FALSE,"state/county aggregate"
"Quarterly survey 2024-10","${DHR_SURVEY_DIR}/quarterly_survey_2024-10.xlsx","a710669a9bb6511d2e29fe2437c8ab1a3604d8da75421ac6c8b931df017e050c",24713,"2025-08-11 19:42:42 UTC",TRUE,FALSE,"state/county aggregate"
"Quarterly survey 2025-04","${DHR_SURVEY_DIR}/quarterly_survey_2025-04.xlsx","06285e6e72f3f5e20ef0327fc69a23395f45fd6f0189bca453aad94fbeedd5f4",26318,"2025-09-22 14:35:18 UTC",TRUE,FALSE,"state/county aggregate"
"Quarterly survey 2025-07","${DHR_SURVEY_DIR}/quarterly_survey_2025-07.xlsx","2a92907044a5cddfe0890c03c4b3b79e1d252a3356c00e5b56a3caa5c20e2b8c",26253,"2025-09-22 14:35:18 UTC",TRUE,FALSE,"state/county aggregate"
